街区,租赁方式,朝向,每月租金,行政区,板块,房屋面积,格局,发布时长
,,,6500,浦东,塘桥,56.43㎡,2室1厅1卫,"
            链家          "
,,,9000,青浦,徐泾,208.00㎡,9室2厅2卫,"
            链家          "
泊寓,独栋,【618安家礼遇：】签约当日，享最高600元租金减免！,2450-2599,,,1室0厅1卫,,"
            泊寓          "
,,,10500,宝山,顾村,144.00㎡,3室0厅2卫,"
            链家          "
,,,34800,浦东,杨思前滩,450.00㎡,4室3厅4卫,"
            链家          "
,,,3100,浦东,泥城镇,86.23㎡,2室2厅1卫,"
            链家          "
,,,37500,青浦,徐泾,338.01㎡,5室2厅4卫,"
            链家          "
,,,55000,徐汇,徐汇滨江,237.96㎡,4室2厅3卫,"
            链家          "
,,,6500,宝山,大场镇,137.22㎡,3室2厅2卫,"
            链家          "
,,,9500,浦东,川沙,156.02㎡,7室1厅7卫,"
            链家          "
泊寓,独栋,618超值房价！当日签约最高可减500元！押一付一,2399,,,1室0厅1卫,,"
            泊寓          "
,,,23800,松江,佘山,254.60㎡,3室2厅3卫,"
            链家          "
泊寓,独栋,【标价基础上当日签约再降500元】错过等一年！618超值钜惠,2450,,,1室0厅1卫,,"
            泊寓          "
,,,13000,黄浦,老西门,146.57㎡,2室2厅1卫,"
            链家          "
,,,4600,浦东,潍坊,35.70㎡,1室1厅1卫,"
            链家          "
,,,700,崇明,崇明新城,89.96㎡,3室2厅1卫,"
            链家          "
,,,22000,徐汇,建国西路,116.98㎡,3室2厅2卫,"
            链家          "
泊寓,独栋,【标价基础上当日签约再降600元错过等一年！618超值钜惠,2450,,,1室0厅1卫,,"
            泊寓          "
泊寓,独栋,毕业生认证享优惠,4230,,,1室1厅1卫,,"
            泊寓          "
,,,4800,闵行,颛桥,87.06㎡,2室2厅1卫,"
            链家          "
,,,3600,宝山,顾村,37.87㎡,2室2厅2卫,"
            链家          "
,,,7300,杨浦,周家嘴路,67.47㎡,2室1厅1卫,"
            链家          "
融寓,独栋,阳光雅致房,4500,,,1室0厅1卫,,"
            融寓          "
彩虹小居,独栋,互联宝地旁,3880,,,1室1厅1卫,,"
            彩虹小居          "
彩虹小居,独栋,互联宝地附近全明一居室,3680,,,1室1厅1卫,,"
            彩虹小居          "
,,,12000,松江,松江大学城,320.00㎡,4室2厅3卫,"
            链家          "
怡辰公寓,独栋,环球港,4250,,,1室1厅1卫,,"
            怡辰公寓          "
,,,4800,黄浦,打浦桥,34.00㎡,1室1厅1卫,"
            链家          "
,,,2600,松江,松江老城,75.18㎡,3室2厅1卫,"
            链家          "
,,,11600,闵行,金汇,96.82㎡,3室2厅2卫,"
            链家          "
,,,3900,宝山,罗店,158.43㎡,4室2厅3卫,"
            链家          "
,,,13000,黄浦,人民广场,74.48㎡,1室1厅1卫,"
            链家          "
,,,9500,徐汇,衡山路,64.41㎡,2室1厅1卫,"
            链家          "
,,,6800,浦东,高行,90.39㎡,2室1厅1卫,"
            链家          "
,,,6000,浦东,世博,50.00㎡,1室1厅1卫,"
            链家          "
,,,4300,普陀,长寿路,35.00㎡,1室1厅1卫,"
            链家          "
彩虹小居,独栋,14号线歇浦路,1980,,,1室0厅1卫,,"
            彩虹小居          "
魔方公寓,独栋,魔方公寓，汶水路，精装修家具，拎包入住，直达人广，汉中路,2600,,,1室0厅1卫,,"
            魔方公寓          "
合寓社区,独栋,小户型,1500,,,1室1厅1卫,,"
            合寓社区          "
未来小家青年社区,独栋,精装一室户小套房,1900,,,,,"
            未来小家青年社区          "
,,,6800,静安,静安寺,53.74㎡,1室1厅1卫,"
            链家          "
彩虹小居,独栋,旭辉广场附近，无中介的连锁公寓来啦C户型,3030,,,1室1厅1卫,,"
            彩虹小居          "
魔方公寓,独栋,上海保租房】元气毕业租房季！年租特价房！稀缺平层，班车免费接送，民用电,1422,,,1室0厅1卫,,"
            魔方公寓          "
,,,12000,杨浦,五角场,188.77㎡,3室2厅1卫,"
            链家          "
,,,5100,徐汇,华泾,62.40㎡,2室1厅1卫,"
            链家          "
彩虹小居,独栋,复旦大学附属红房子医院,4880,,,1室1厅1卫,,"
            彩虹小居          "
,,,14000,长宁,镇宁路,121.67㎡,2室2厅2卫,"
            链家          "
彩虹小居,独栋,黄兴公园附近,4880,,,1室1厅1卫,,"
            彩虹小居          "
彩虹小居,独栋,地铁8号线,3100,,,1室0厅1卫,,"
            彩虹小居          "
,,,9500,松江,莘闵别墅,172.12㎡,4室2厅3卫,"
            链家          "
,,,15000,浦东,杨思前滩,178.47㎡,7室2厅2卫,"
            链家          "
,,,4300,嘉定,安亭,97.58㎡,3室2厅2卫,"
            链家          "
,,,8500,闵行,颛桥,240.57㎡,4室2厅2卫,"
            链家          "
,,,4500,闵行,七宝,50.33㎡,2室1厅1卫,"
            链家          "
魔方公寓,独栋,上海保租房】元气毕业租房季！年租特惠房,3838,,,1室1厅1卫,,"
            魔方公寓          "
魔方公寓,独栋,12免1！签约即送生活大礼包！保租房,2740,,,1室1厅1卫,,"
            魔方公寓          "
,,,2800,闵行,浦江,64.51㎡,1室1厅1卫,"
            链家          "
魔方公寓,独栋,实习生首选！近地铁1号线,2788,,,1室0厅1卫,,"
            魔方公寓          "
,,,16500,浦东,三林,190.20㎡,6室2厅3卫,"
            链家          "
,,,29800,虹口,北外滩,153.88㎡,3室2厅2卫,"
            链家          "
未来小家青年社区,独栋,整租，城银路阳光一居室,1800,,,,,"
            未来小家青年社区          "
,,,3700,宝山,顾村,84.77㎡,2室1厅1卫,"
            链家          "
,,,5000,松江,泗泾,87.61㎡,2室1厅2卫,"
            链家          "
,,,2100,松江,松江老城,37.67㎡,1室1厅1卫,"
            链家          "
,,,9800,浦东,南码头,121.34㎡,2室2厅1卫,"
            链家          "
,,,5700,长宁,古北,52.80㎡,1室1厅1卫,"
            链家          "
,,,20000,静安,南京西路,132.00㎡,3室2厅2卫,"
            链家          "
,,,10000,青浦,徐泾,98.34㎡,3室2厅1卫,"
            链家          "
,,,8700,静安,大宁,106.19㎡,3室1厅1卫,"
            链家          "
,,,3543,青浦,赵巷,,南,"
            自如          "
,,,1800,浦东,临港新城,80.18㎡,3室1厅1卫,"
            链家          "
,,,4900,长宁,中山公园,30.80㎡,1室1厅1卫,"
            链家          "
,,,9500,浦东,杨东,124.00㎡,3室2厅2卫,"
            链家          "
,,,1800,嘉定,安亭,55.13㎡,1室1厅1卫,"
            链家          "
,,,1400,金山,金山新城,89.00㎡,2室2厅1卫,"
            链家          "
,,,7200,浦东,联洋,81.87㎡,3室1厅1卫,"
            链家          "
,,,3990,杨浦,鞍山,,北,"
            自如          "
,,,5000,长宁,新华路,35.29㎡,1室1厅1卫,"
            链家          "
,,,7600,静安,不夜城,57.66㎡,1室1厅1卫,"
            链家          "
,,,1900,浦东,书院镇,80.33㎡,2室1厅1卫,"
            链家          "
,,,1500,崇明,崇明新城,56.16㎡,2室1厅1卫,"
            链家          "
,,,5200,杨浦,黄兴公园,69.84㎡,3室1厅1卫,"
            链家          "
,,,4430,宝山,上大,,南,"
            自如          "
,,,5300,浦东,金桥,72.34㎡,2室1厅1卫,"
            链家          "
,,,7200,浦东,塘桥,60.47㎡,3室0厅1卫,"
            链家          "
,,,7160,虹口,江湾镇,,南,"
            自如          "
,,,6500,闵行,春申,106.23㎡,2室2厅1卫,"
            链家          "
,,,5590,浦东,世博,,南,"
            自如          "
,,,5290,浦东,杨思前滩,,南,"
            自如          "
,,,3460,闵行,闵浦,57.13㎡,1室1厅1卫,"
            自如          "
,,,5200,杨浦,黄兴公园,60.21㎡,2室1厅1卫,"
            链家          "
,,,3700,宝山,顾村,79.00㎡,3室1厅1卫,"
            链家          "
,,,9000,浦东,杨思前滩,63.70㎡,1室1厅1卫,"
            链家          "
,,,14000,浦东,航头,228.92㎡,5室2厅4卫,"
            链家          "
,,,3600,青浦,夏阳,87.00㎡,3室1厅1卫,"
            链家          "
,,,5260,长宁,新华路,,南,"
            自如          "
,,,5160,宝山,淞南,,南,"
            自如          "
,,,3500,浦东,曹路,54.00㎡,2室1厅1卫,"
            链家          "
,,,5190,浦东,世博,,南,"
            自如          "
,,,3730,浦东,外高桥,,南,"
            自如          "
,,,7690,浦东,塘桥,,南,"
            自如          "
,,,7500,嘉定,安亭,139.47㎡,3室2厅2卫,"
            链家          "
,,,4860,浦东,高行,,南,"
            自如          "
,,,7460,青浦,徐泾,,南,"
            自如          "
,,,36000,静安,南京西路,235.58㎡,4室2厅3卫,"
            链家          "
,,,4930,普陀,长征,,南,"
            自如          "
,,,5190,浦东,南码头,,南,"
            自如          "
,,,13000,长宁,古北,71.05㎡,1室2厅1卫,"
            链家          "
,,,4300,浦东,洋泾,44.24㎡,1室1厅1卫,"
            链家          "
,,,3600,杨浦,鞍山,33.01㎡,1室0厅1卫,"
            链家          "
,,,7000,静安,江宁路,57.00㎡,2室1厅1卫,"
            链家          "
,,,7800,闵行,华漕,95.00㎡,3室2厅1卫,"
            链家          "
,,,8800,宝山,大华,115.60㎡,3室2厅1卫,"
            链家          "
,,,2800,奉贤,西渡,94.15㎡,2室2厅1卫,"
            链家          "
,,,40800,青浦,徐泾,337.67㎡,5室2厅4卫,"
            链家          "
,,,11000,黄浦,蓬莱公园,78.45㎡,2室1厅1卫,"
            链家          "
,,,10300,黄浦,蓬莱公园,103.64㎡,2室2厅1卫,"
            链家          "
,,,50000,浦东,塘桥,140.00㎡,1室0厅1卫,"
            链家          "
,,,4890,徐汇,龙华,,东南,"
            自如          "
,,,2460,嘉定,嘉定老城,,南,"
            自如          "
,,,3360,嘉定,嘉定新城,58.25㎡,1室1厅1卫,"
            自如          "
,,,4300,普陀,光新,38.83㎡,1室1厅1卫,"
            链家          "
,,,3090,宝山,顾村,,南,"
            自如          "
,,,5790,闵行,静安新城,,南,"
            自如          "
,,,11000,浦东,花木,98.64㎡,2室2厅1卫,"
            链家          "
,,,2628,嘉定,安亭,49.71㎡,2室2厅1卫,"
            链家          "
,,,3000,宝山,顾村,97.00㎡,3室2厅1卫,"
            链家          "
,,,3100,浦东,高行,35.81㎡,1室1厅1卫,"
            链家          "
,,,6900,普陀,真如,95.62㎡,2室2厅1卫,"
            链家          "
,,,4700,浦东,梅园,54.10㎡,2室1厅1卫,"
            链家          "
,,,4800,长宁,中山公园,38.00㎡,1室1厅1卫,"
            链家          "
,,,42000,黄浦,世博滨江,221.08㎡,4室2厅3卫,"
            链家          "
,,,5590,普陀,曹杨,,南,"
            自如          "
,,,5500,浦东,高行,72.19㎡,2室2厅1卫,"
            链家          "
,,,4000,松江,莘闵别墅,88.54㎡,3室1厅1卫,"
            链家          "
,,,32500,静安,江宁路,227.98㎡,4室2厅4卫,"
            链家          "
,,,5390,浦东,梅园,,南,"
            自如          "
,,,6000,宝山,杨行,108.04㎡,4室1厅1卫,"
            链家          "
,,,35000,徐汇,徐汇滨江,155.00㎡,4室2厅2卫,"
            链家          "
,,,4500,徐汇,龙华,28.43㎡,1室1厅1卫,"
            链家          "
,,,4660,闵行,老闵行,,南,"
            自如          "
,,,3700,闵行,颛桥,67.85㎡,2室1厅1卫,"
            链家          "
,,,5660,闵行,龙柏,,南,"
            自如          "
,,,5230,浦东,洋泾,,南,"
            自如          "
,,,3790,普陀,甘泉宜川,,南,"
            自如          "
,,,5030,浦东,三林,,南,"
            自如          "
,,,4030,嘉定,南翔,48.72㎡,1室1厅1卫,"
            自如          "
,,,1600,嘉定,安亭,49.47㎡,1室1厅1卫,"
            链家          "
,,,4600,闵行,龙柏,50.77㎡,1室1厅1卫,"
            链家          "
,,,4800,浦东,梅园,35.70㎡,1室1厅1卫,"
            链家          "
,,,5500,长宁,中山公园,47.53㎡,2室1厅1卫,"
            链家          "
,,,15520,静安,大宁,107.00㎡,3室2厅2卫,"
            链家          "
,,,1000,崇明,崇明新城,55.46㎡,2室1厅1卫,"
            链家          "
,,,4890,浦东,洋泾,,南,"
            自如          "
,,,12000,浦东,花木,97.69㎡,3室2厅1卫,"
            链家          "
,,,4200,青浦,重固,98.21㎡,3室2厅2卫,"
            链家          "
,,,5500,普陀,曹杨,43.31㎡,1室2厅1卫,"
            链家          "
,,,4730,嘉定,江桥,,南,"
            自如          "
,,,2900,奉贤,庄行,92.83㎡,3室2厅2卫,"
            链家          "
,,,3700,宝山,罗店,83.59㎡,3室1厅1卫,"
            链家          "
,,,6700,黄浦,新天地,40.56㎡,2室0厅1卫,"
            链家          "
,,,7100,宝山,顾村,118.66㎡,4室2厅2卫,"
            链家          "
,,,12000,静安,大宁,109.45㎡,2室2厅2卫,"
            链家          "
,,,4900,闵行,老闵行,84.76㎡,2室1厅1卫,"
            链家          "
,,,3900,闵行,颛桥,73.25㎡,2室1厅1卫,"
            链家          "
,,,2500,金山,金山新城,97.00㎡,2室2厅1卫,"
            链家          "
,,,4830,浦东,洋泾,,南,"
            自如          "
,,,3890,宝山,淞南,,南,"
            自如          "
,,,1700,浦东,惠南,83.35㎡,3室1厅1卫,"
            链家          "
,,,5800,黄浦,人民广场,40.00㎡,1室1厅1卫,"
            链家          "
,,,11800,静安,不夜城,153.34㎡,4室2厅2卫,"
            链家          "
,,,4890,徐汇,田林,,南,"
            自如          "
,,,5200,宝山,罗泾,396.13㎡,7室2厅3卫,"
            链家          "
,,,6330,浦东,世博,,南,"
            自如          "
,,,6190,闵行,七宝,60.65㎡,2室1厅2卫,"
            链家          "
,,,4100,松江,松江新城,116.99㎡,3室2厅2卫,"
            链家          "
,,,11500,浦东,南码头,99.80㎡,2室2厅1卫,"
            链家          "
,,,9500,浦东,世博,95.64㎡,2室1厅1卫,"
            链家          "
,,,8700,静安,大宁,99.99㎡,3室2厅1卫,"
            链家          "
,,,5930,浦东,南码头,,南,"
            自如          "
,,,5460,普陀,甘泉宜川,47.81㎡,2室1厅1卫,"
            自如          "
,,,6400,闵行,吴泾,106.00㎡,3室2厅2卫,"
            链家          "
,,,11000,闵行,古美,103.75㎡,2室2厅2卫,"
            链家          "
盛大天地青春里公寓,独栋,中套,5500,,,2室2厅2卫,,"
            盛大天地青春里公寓          "
,,,3800,浦东,杨思前滩,41.14㎡,1室1厅1卫,"
            链家          "
,,,3000,嘉定,安亭,91.98㎡,3室1厅1卫,"
            链家          "
,,,5000,松江,泗泾,78.17㎡,2室2厅1卫,"
            链家          "
,,,15500,普陀,武宁,156.69㎡,3室2厅2卫,"
            链家          "
,,,11500,虹口,临平路,99.61㎡,2室1厅2卫,"
            链家          "
盛大天地青春里公寓,独栋,复式两房,4750-5000,,,2室2厅1卫,,"
            盛大天地青春里公寓          "
,,,9000,浦东,世博,91.36㎡,2室1厅1卫,"
            链家          "
邑都青年公社,独栋,尙浦中心房补公寓,2600,,,1室1厅1卫,,"
            邑都青年公社          "
邑都青年公社,独栋,近虹口足球场,3800,,,1室1厅1卫,,"
            邑都青年公社          "
,,,5800,黄浦,蓬莱公园,39.18㎡,1室0厅1卫,"
            链家          "
,,,1800,浦东,万祥镇,88.26㎡,2室1厅1卫,"
            链家          "
,,,3300,浦东,泥城镇,123.00㎡,3室2厅2卫,"
            链家          "
,,,2900,嘉定,安亭,71.72㎡,2室1厅1卫,"
            链家          "
邑都青年公社,独栋,近财经复旦大学,3000,,,1室1厅1卫,,"
            邑都青年公社          "
,,,5200,浦东,三林,55.00㎡,1室1厅1卫,"
            链家          "
,,,4700,浦东,航头,110.57㎡,3室2厅1卫,"
            链家          "
柚米寓,独栋,【九亭保租房·静谧一居】民水民电无服务费！地铁500米通勤神器，金地广场旁即住,2341,,,1室0厅1卫,,"
            柚米寓          "
,,,3200,浦东,川沙,41.03㎡,1室1厅1卫,"
            链家          "
,,,6600,闵行,老闵行,146.63㎡,3室2厅2卫,"
            链家          "
友间公寓,独栋,独卫一居室/可办居住证/可用公积金,2350,,,1室0厅1卫,,"
            友间公寓          "
,,,26300,虹口,临平路,154.59㎡,3室2厅3卫,"
            链家          "
,,,5000,浦东,塘桥,42.17㎡,1室1厅1卫,"
            链家          "
,,,4200,静安,彭浦,48.07㎡,2室1厅1卫,"
            链家          "
途步酒店式公寓,独栋,特价一室设施齐全,1400,,,1室1厅1卫,,"
            途步酒店式公寓          "
柚米寓,独栋,毕业生特惠活动!,3522-3988,,,1室1厅1卫,,"
            柚米寓          "
柚米寓,独栋,毕业生享特惠！精装一居室！采光超好，租金月付，可做饭,2791,,,1室1厅1卫,,"
            柚米寓          "
城家公寓,独栋,可养宠物！【限时免租70天】免费健身房！近地铁！无中介费！,4600,,,1室0厅1卫,,"
            城家公寓          "
壹间公寓,独栋,G60云廊,2380,,,1室0厅1卫,,"
            壹间公寓          "
,,,6000,杨浦,五角场,60.16㎡,2室1厅1卫,"
            链家          "
,,,7800,浦东,御桥,85.00㎡,2室2厅1卫,"
            链家          "
大华享寓,独栋,乐之中学，顾村公园地铁口旁，两室一厅，民用水电通燃气,3301,,,2室1厅1卫,,"
            大华享寓          "
,,,7200,杨浦,五角场,73.00㎡,2室1厅1卫,"
            链家          "
,,,7000,浦东,陆家嘴,66.42㎡,2室1厅1卫,"
            链家          "
大华享寓,独栋,无中介费,2438,,,1室1厅1卫,,"
            大华享寓          "
,,,11500,杨浦,周家嘴路,126.61㎡,3室2厅1卫,"
            链家          "
城方公寓,独栋,国企保障,8690-9051,,,2室1厅1卫,,"
            城方公寓          "
,,,4570,青浦,朱家角,311.91㎡,4室2厅4卫,"
            链家          "
城方公寓,独栋,国企房东直租,6352-6851,,,1室1厅1卫,,"
            城方公寓          "
贝壳新青年公寓,独栋,【毕业生押金减半】4个月起租/1/12号线朝南复式/可做饭/月付,3100,,,1室0厅1卫,,"
            贝壳新青年公寓          "
,,,26000,普陀,长征,177.78㎡,4室2厅3卫,"
            链家          "
,,,8900,普陀,真如,135.63㎡,3室2厅2卫,"
            链家          "
,,,5300,浦东,梅园,46.84㎡,2室1厅1卫,"
            链家          "
,,,12200,闵行,浦江,159.53㎡,3室2厅2卫,"
            链家          "
,,,1800,崇明,崇明新城,52.80㎡,2室1厅1卫,"
            链家          "
贝壳新青年公寓,独栋,【漕河泾2k长租特惠】4个月起租/地铁口200米/保租房/可月付,2500-2600,,,,,"
            贝壳新青年公寓          "
,,,16000,嘉定,马陆,267.84㎡,5室3厅4卫,"
            链家          "
,,,5300,浦东,金桥,60.00㎡,1室1厅1卫,"
            链家          "
,,,18000,松江,泗泾,280.11㎡,7室3厅4卫,"
            链家          "
大华享寓,独栋,民用水电通燃气+实体墙+大阳台+地下车库,2438,,,1室1厅1卫,,"
            大华享寓          "
,,,3000,崇明,陈家镇,162.58㎡,3室2厅2卫,"
            链家          "
,,,4800,杨浦,鞍山,38.27㎡,1室1厅1卫,"
            链家          "
,,,21000,长宁,西郊,224.52㎡,4室2厅3卫,"
            链家          "
城方公寓,独栋,全额公积金,6825-7302,,,,,"
            城方公寓          "
,,,4900,闵行,龙柏,49.86㎡,1室1厅1卫,"
            链家          "
城方公寓,独栋,近世博,6581-7395,,,,,"
            城方公寓          "
,,,4580,徐汇,衡山路,20.10㎡,1室1厅1卫,"
            链家          "
城方公寓,独栋,狗狗友好社区,6581-7395,,,,,"
            城方公寓          "
,,,3200,松江,松江大学城,59.38㎡,1室1厅1卫,"
            链家          "
,,,8000,闵行,浦江,104.12㎡,3室2厅1卫,"
            链家          "
,,,8600,杨浦,新江湾城,89.75㎡,3室2厅1卫,"
            链家          "
,,,11000,青浦,徐泾,89.00㎡,3室2厅1卫,"
            链家          "
,,,4600,普陀,桃浦,77.18㎡,2室1厅1卫,"
            链家          "
,,,9130,闵行,金汇,,南,"
            自如          "
,,,6730,浦东,梅园,,南,"
            自如          "
,,,4590,浦东,金桥,,南,"
            自如          "
,,,11790,闵行,金虹桥,,南,"
            自如          "
,,,5000,宝山,罗店,122.04㎡,4室2厅2卫,"
            链家          "
,,,5800,松江,九亭,125.38㎡,3室2厅1卫,"
            链家          "
,,,9800,浦东,世博,118.29㎡,3室1厅1卫,"
            链家          "
,,,5690,宝山,大华,,南,"
            自如          "
,,,6500,青浦,徐泾,92.00㎡,3室2厅1卫,"
            链家          "
,,,6392,闵行,静安新城,,南,"
            自如          "
,,,4890,浦东,世博,,南,"
            自如          "
,,,7000,静安,永和,107.24㎡,3室2厅1卫,"
            链家          "
,,,11000,长宁,镇宁路,66.73㎡,2室1厅1卫,"
            链家          "
,,,5089,杨浦,中原,36.70㎡,1室1厅1卫,"
            自如          "
,,,5330,徐汇,田林,34.01㎡,1室1厅1卫,"
            自如          "
,,,10000,浦东,潍坊,97.22㎡,3室1厅1卫,"
            链家          "
,,,3900,浦东,梅园,30.24㎡,1室0厅1卫,"
            链家          "
,,,6500,长宁,镇宁路,53.10㎡,1室1厅1卫,"
            链家          "
,,,6400,闵行,吴泾,131.00㎡,4室2厅2卫,"
            链家          "
,,,4730,嘉定,嘉定新城,89.00㎡,2室1厅1卫,"
            自如          "
,,,5800,静安,彭浦,49.20㎡,1室1厅1卫,"
            链家          "
,,,4800,浦东,张江,45.00㎡,1室1厅1卫,"
            链家          "
,,,5030,普陀,武宁,32.76㎡,1室1厅1卫,"
            自如          "
,,,5800,宝山,顾村,94.79㎡,3室2厅1卫,"
            链家          "
,,,17500,青浦,徐泾,161.92㎡,4室2厅2卫,"
            链家          "
,,,5500,闵行,吴泾,105.00㎡,3室2厅2卫,"
            链家          "
,,,4990,闵行,七宝,,南,"
            自如          "
,,,8380,青浦,徐泾,95.95㎡,3室2厅2卫,"
            链家          "
,,,4100,嘉定,南翔,91.00㎡,3室1厅1卫,"
            链家          "
,,,3300,松江,九亭,46.43㎡,2室0厅1卫,"
            链家          "
,,,6000,松江,莘闵别墅,173.58㎡,4室2厅3卫,"
            链家          "
,,,4800,闵行,华漕,81.00㎡,3室2厅1卫,"
            链家          "
,,,2500,宝山,顾村,37.00㎡,1室1厅1卫,"
            链家          "
,,,3990,宝山,顾村,,南,"
            自如          "
,,,4800,长宁,中山公园,41.84㎡,1室1厅1卫,"
            链家          "
,,,6000,浦东,临港新城,152.39㎡,4室2厅3卫,"
            链家          "
,,,4500,青浦,华新,83.00㎡,4室1厅1卫,"
            链家          "
,,,4100,闵行,七宝,51.93㎡,2室1厅1卫,"
            链家          "
,,,3400,奉贤,南桥,90.26㎡,3室1厅1卫,"
            链家          "
,,,4060,宝山,大场镇,,南,"
            自如          "
,,,4460,浦东,世博,,南,"
            自如          "
,,,4400,普陀,真如,32.38㎡,1室0厅1卫,"
            链家          "
,,,4000,嘉定,嘉定新城,80.15㎡,2室1厅1卫,"
            链家          "
,,,4830,浦东,康桥,,南,"
            自如          "
,,,4790,浦东,潍坊,,南,"
            自如          "
,,,4390,宝山,淞南,,南,"
            自如          "
,,,6800,静安,南京西路,50.96㎡,1室1厅1卫,"
            链家          "
,,,16900,浦东,杨思前滩,97.00㎡,2室2厅1卫,"
            链家          "
,,,6190,杨浦,中原,,南,"
            自如          "
,,,4778,青浦,徐泾,,南,"
            自如          "
,,,4030,杨浦,周家嘴路,,南,"
            自如          "
,,,13000,黄浦,人民广场,74.48㎡,1室1厅1卫,"
            链家          "
,,,5490,浦东,洋泾,,南,"
            自如          "
,,,5160,徐汇,徐家汇,33.80㎡,1室1厅1卫,"
            自如          "
,,,9500,徐汇,衡山路,64.41㎡,2室1厅1卫,"
            链家          "
,,,4860,宝山,上大,,南,"
            自如          "
,,,2800,闵行,浦江,64.51㎡,1室1厅1卫,"
            链家          "
,,,16500,浦东,三林,190.20㎡,6室2厅3卫,"
            链家          "
,,,4430,长宁,中山公园,,南,"
            自如          "
,,,6660,普陀,光新,,南,"
            自如          "
,,,29800,虹口,北外滩,153.88㎡,3室2厅2卫,"
            链家          "
,,,5490,徐汇,龙华,,南,"
            自如          "
,,,1500,嘉定,嘉定老城,55.14㎡,1室1厅1卫,"
            链家          "
,,,5500,静安,西藏北路,59.86㎡,1室1厅1卫,"
            链家          "
,,,5289,闵行,古美,,南,"
            自如          "
,,,6200,闵行,吴泾,105.00㎡,3室2厅2卫,"
            链家          "
,,,3190,杨浦,鞍山,,北,"
            自如          "
,,,6630,徐汇,康健,,南,"
            自如          "
,,,3500,静安,南京西路,14.90㎡,1室1厅1卫,"
            链家          "
,,,3180,奉贤,西渡,92.47㎡,2室2厅2卫,"
            链家          "
,,,4800,浦东,泥城镇,141.82㎡,4室2厅1卫,"
            链家          "
,,,16500,浦东,张江,138.26㎡,3室2厅2卫,"
            链家          "
,,,5490,虹口,江湾镇,,南,"
            自如          "
,,,4800,浦东,潍坊,37.90㎡,1室1厅1卫,"
            链家          "
,,,5030,徐汇,徐家汇,,西,"
            自如          "
,,,6300,杨浦,五角场,78.16㎡,2室2厅1卫,"
            链家          "
,,,12730,静安,曹家渡,120.09㎡,2室1厅1卫,"
            自如          "
,,,5560,杨浦,新江湾城,53.28㎡,1室1厅1卫,"
            自如          "
,,,4600,闵行,梅陇,87.27㎡,2室2厅1卫,"
            链家          "
,,,2600,嘉定,安亭,89.63㎡,3室1厅1卫,"
            链家          "
,,,4260,闵行,莘庄南广场,42.77㎡,1室1厅1卫,"
            自如          "
,,,6965,徐汇,田林,86.30㎡,2室1厅1卫,"
            自如          "
,,,13000,黄浦,老西门,131.40㎡,2室2厅2卫,"
            链家          "
,,,6000,浦东,潍坊,37.71㎡,1室0厅1卫,"
            链家          "
,,,3700,宝山,顾村,84.77㎡,2室1厅1卫,"
            链家          "
,,,42000,黄浦,世博滨江,221.08㎡,4室2厅3卫,"
            链家          "
,,,5500,浦东,高行,72.19㎡,2室2厅1卫,"
            链家          "
,,,4000,松江,莘闵别墅,88.54㎡,3室1厅1卫,"
            链家          "
悦徕国际公寓,独栋,大面积好户型南北通透大阳台一户难求欢迎看房,2500,,,,,"
            悦徕国际公寓          "
,,,32500,静安,江宁路,227.98㎡,4室2厅4卫,"
            链家          "
,,,6000,宝山,杨行,108.04㎡,4室1厅1卫,"
            链家          "
,,,35000,徐汇,徐汇滨江,155.00㎡,4室2厅2卫,"
            链家          "
壹间公寓,独栋,特惠品牌公寓,1050,,,1室1厅1卫,,"
            壹间公寓          "
壹间公寓,独栋,不到1000,966,,,1室1厅1卫,,"
            壹间公寓          "
壹间公寓,独栋,北郊产业园,1125-1288,,,1室1厅1卫,,"
            壹间公寓          "
,,,4500,徐汇,龙华,28.43㎡,1室1厅1卫,"
            链家          "
,,,3700,闵行,颛桥,67.85㎡,2室1厅1卫,"
            链家          "
壹间公寓,独栋,沪漂第一站·壹间公寓！三个月起租，押一付一,2552,,,1室0厅1卫,,"
            壹间公寓          "
,,,1600,嘉定,安亭,49.47㎡,1室1厅1卫,"
            链家          "
,,,4600,闵行,龙柏,50.77㎡,1室1厅1卫,"
            链家          "
,,,4800,浦东,梅园,35.70㎡,1室1厅1卫,"
            链家          "
壹间公寓,独栋,央企公寓·精装修·免物业费·免费网络·宠物友好,3861,,,2室1厅1卫,,"
            壹间公寓          "
,,,5500,长宁,中山公园,47.53㎡,2室1厅1卫,"
            链家          "
,,,11000,长宁,中山公园,108.32㎡,3室2厅1卫,"
            链家          "
,,,6500,闵行,吴泾,104.00㎡,3室2厅2卫,"
            链家          "
,,,4800,闵行,老闵行,81.78㎡,4室0厅1卫,"
            链家          "
海伦堡爱ME公寓,独栋,冬季钜惠,4100,,,2室1厅1卫,,"
            海伦堡爱ME公寓          "
,,,18300,静安,南京西路,100.00㎡,2室2厅1卫,"
            链家          "
海伦堡爱ME公寓,独栋,冬季跳楼价,4100,,,2室1厅1卫,,"
            海伦堡爱ME公寓          "
,,,6400,浦东,唐镇,109.20㎡,2室2厅2卫,"
            链家          "
,,,2800,宝山,罗店,94.45㎡,3室1厅1卫,"
            链家          "
海伦堡爱ME公寓,独栋,冬季跳楼价,4100,,,2室1厅1卫,,"
            海伦堡爱ME公寓          "
